id,document_text,authenticity_score
55001006,"Wherefore I put thee in remembrance that thou stir up the gift of God, which is in thee by the putting on of my hands.",0.983626425
55001007,"For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind.",0.990496755
55001008,"Be not thou therefore ashamed of the testimony of our Lord, nor of me his prisoner: but be thou partaker of the afflictions of the gospel according to the power of God;",0.989564061
55001009,"Who hath saved us, and called us with an holy calling, not according to our works, but according to his own purpose and grace, which was given us in Christ Jesus before the world began,",0.958387733
55001010,"But is now made manifest by the appearing of our Saviour Jesus Christ, who hath abolished death, and hath brought life and immortality to light through the gospel:",0.960767508
55001011,"Whereunto I am appointed a preacher, and an apostle, and a teacher of the Gentiles.",0.985984921
55001012,"For the which cause I also suffer these things: nevertheless I am not ashamed: for I know whom I have believed, and am persuaded that he is able to keep that which I have committed unto him against that day.",0.990115166
55001013,"Hold fast the form of sound words, which thou hast heard of me, in faith and love which is in Christ Jesus.",0.980104983
55001014,That good thing which was committed unto thee keep by the Holy Ghost which dwelleth in us.,0.024951911
55001015,"This thou knowest, that all they which are in Asia be turned away from me; of whom are Phygellus and Hermogenes.",0.990016162
55001016,"The Lord give mercy unto the house of Onesiphorus; for he oft refreshed me, and was not ashamed of my chain:",0.99034965
55001017,"But, when he was in Rome, he sought me out very diligently, and found me.",0.984792948
55001018,"The Lord grant unto him that he may find mercy of the Lord in that day: and in how many things he ministered unto me at Ephesus, thou knowest very well.",0.985043883
55002001,"Thou therefore, my son, be strong in the grace that is in Christ Jesus.",0.986247241
55002002,"And the things that thou hast heard of me among many witnesses, the same commit thou to faithful men, who shall be able to teach others also.",0.987352848
55002003,"Thou therefore endure hardness, as a good soldier of Jesus Christ.",0.986629486
55002004,No man that warreth entangleth himself with the affairs of this life; that he may please him who hath chosen him to be a soldier.,0.986934543
55002005,"And if a man also strive for masteries, yet is he not crowned, except he strive lawfully.",0.982134223
55002006,The husbandman that laboureth must be first partaker of the fruits.,0.984244227
55002007,Consider what I say; and the Lord give thee understanding in all things.,0.978379488
55002008,Remember that Jesus Christ of the seed of David was raised from the dead according to my gospel:,0.991030574
55002009,"Wherein I suffer trouble, as an evil doer, even unto bonds; but the word of God is not bound.",0.977722645
55002010,"Therefore I endure all things for the elect's sakes, that they may also obtain the salvation which is in Christ Jesus with eternal glory.",0.991473079
55002011,"It is a faithful saying: For if we be dead with him, we shall also live with him:",0.99061954
55002012,"If we suffer, we shall also reign with him: if we deny him, he also will deny us:",0.988157213
55002013,"If we believe not, yet he abideth faithful: he cannot deny himself.",0.8678388
55002014,"Of these things put them in remembrance, charging them before the Lord that they strive not about words to no profit, but to the subverting of the hearers.",0.02701238
55002015,"Study to shew thyself approved unto God, a workman that needeth not to be ashamed, rightly dividing the word of truth.",0.298478991
55002016,But shun profane and vain babblings: for they will increase unto more ungodliness.,0.729527712
55002017,And their word will eat as doth a canker: of whom is Hymenaeus and Philetus;,0.983538628
55002018,"Who concerning the truth have erred, saying that the resurrection is past already; and overthrow the faith of some.",0.062297896
55002019,"Nevertheless the foundation of God standeth sure, having this seal, The Lord knoweth them that are his. And, Let every one that nameth the name of Christ depart from iniquity.",0.98645556
55002020,"But in a great house there are not only vessels of gold and of silver, but also of wood and of earth; and some to honour, and some to dishonour.",0.987528801
55002021,"If a man therefore purge himself from these, he shall be a vessel unto honour, sanctified, and meet for the master's use, and prepared unto every good work.",0.883593321
55002022,"Flee also youthful lusts: but follow righteousness, faith, charity, peace, with them that call on the Lord out of a pure heart.",0.019268271
55002023,"But foolish and unlearned questions avoid, knowing that they do gender strifes.",0.464463681
55002024,"And the servant of the Lord must not strive; but be gentle unto all men, apt to teach, patient,",0.928282559
55002025,In meekness instructing those that oppose themselves; if God peradventure will give them repentance to the acknowledging of the truth;,0.988830507
55002026,"And that they may recover themselves out of the snare of the devil, who are taken captive by him at his will.",0.901853919
55003001,"This know also, that in the last days perilous times shall come.",0.303027362
55003002,"For men shall be lovers of their own selves, covetous, boasters, proud, blasphemers, disobedient to parents, unthankful, unholy,",0.968735814
55003003,"Without natural affection, trucebreakers, false accusers, incontinent, fierce, despisers of those that are good,",0.830923676
55003004,"Traitors, heady, highminded, lovers of pleasures more than lovers of God;",0.973255515
55003005,"Having a form of godliness, but denying the power thereof: from such turn away.",0.251146644
55003006,"For of this sort are they which creep into houses, and lead captive silly women laden with sins, led away with divers lusts,",0.026999928
55003007,"Ever learning, and never able to come to the knowledge of the truth.",0.939280927
55003008,"Now as Jannes and Jambres withstood Moses, so do these also resist the truth: men of corrupt minds, reprobate concerning the faith.",0.063510463
55003009,"But they shall proceed no further: for their folly shall be manifest unto all men, as their's also was.",0.991496325
55003010,"But thou hast fully known my doctrine, manner of life, purpose, faith, longsuffering, charity, patience,",0.990089893
55003011,"Persecutions, afflictions, which came unto me at Antioch, at Iconium, at Lystra; what persecutions I endured: but out of them all the Lord delivered me.",0.9833408
55003012,"Yea, and all that will live godly in Christ Jesus shall suffer persecution.",0.987040102
55003013,"But evil men and seducers shall wax worse and worse, deceiving, and being deceived.",0.032168515
55003014,"But continue thou in the things which thou hast learned and hast been assured of, knowing of whom thou hast learned them;",0.975037575
55003015,"And that from a child thou hast known the holy scriptures, which are able to make thee wise unto salvation through faith which is in Christ Jesus.",0.977405131
55003016,"All scripture is given by inspiration of God, and is profitable for doctrine, for reproof, for correction, for instruction in righteousness:",0.991374195
55003017,"That the man of God may be perfect, throughly furnished unto all good works.",0.982639968
55004001,"I charge thee therefore before God, and the Lord Jesus Christ, who shall judge the quick and the dead at his appearing and his kingdom;",0.975364625
55004002,"Preach the word; be instant in season, out of season; reprove, rebuke, exhort with all longsuffering and doctrine.",0.979587913
55004003,"For the time will come when they will not endure sound doctrine; but after their own lusts shall they heap to themselves teachers, having itching ears;",0.713552892
55004004,"And they shall turn away their ears from the truth, and shall be turned unto fables.",0.028748609
55004005,"But watch thou in all things, endure afflictions, do the work of an evangelist, make full proof of thy ministry.",0.96818608
55004006,"For I am now ready to be offered, and the time of my departure is at hand.",0.990112662
55004007,"I have fought a good fight, I have finished my course, I have kept the faith:",0.985804617
55004008,"Henceforth there is laid up for me a crown of righteousness, which the Lord, the righteous judge, shall give me at that day: and not to me only, but unto all them also that love his appearing.",0.986824453
55004009,Do thy diligence to come shortly unto me:,0.98889482
55004010,"For Demas hath forsaken me, having loved this present world, and is departed unto Thessalonica; Crescens to Galatia, Titus unto Dalmatia.",0.981813192
55004011,"Only Luke is with me. Take Mark, and bring him with thee: for he is profitable to me for the ministry.",0.981896639
55004012,And Tychicus have I sent to Ephesus.,0.99083823
55004013,"The cloke that I left at Troas with Carpus, when thou comest, bring with thee, and the books, but especially the parchments.",0.723710597
55004014,Alexander the coppersmith did me much evil: the Lord reward him according to his works:,0.967131972
55004015,Of whom be thou ware also; for he hath greatly withstood our words.,0.989778936
55004016,"At my first answer no man stood with me, but all men forsook me: I pray God that it may not be laid to their charge.",0.989086747
55004017,"Notwithstanding the Lord stood with me, and strengthened me; that by me the preaching might be fully known, and that all the Gentiles might hear: and I was delivered out of the mouth of the lion.",0.985966861
55004018,"And the Lord shall deliver me from every evil work, and will preserve me unto his heavenly kingdom: to whom be glory for ever and ever. Amen.",0.972684801
55004019,"Salute Prisca and Aquila, and the household of Onesiphorus.",0.980878711
55004020,Erastus abode at Corinth: but Trophimus have I left at Miletum sick.,0.976135731
55004021,"Do thy diligence to come before winter. Eubulus greeteth thee, and Pudens, and Linus, and Claudia, and all the brethren.",0.982532263
55004022,The Lord Jesus Christ be with thy spirit. Grace be with you. Amen.,0.990676403
56001001,"Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;",0.676282525
56001002,"In hope of eternal life, which God, that cannot lie, promised before the world began;",0.982987046
56001003,"But hath in due times manifested his word through preaching, which is committed unto me according to the commandment of God our Saviour;",0.98655057
56001004,"To Titus, mine own son after the common faith: Grace, mercy, and peace, from God the Father and the Lord Jesus Christ our Saviour.",0.972826362
56001005,"For this cause left I thee in Crete, that thou shouldest set in order the things that are wanting, and ordain elders in every city, as I had appointed thee:",0.988192499
56001006,"If any be blameless, the husband of one wife, having faithful children not accused of riot or unruly.",0.971616924
56001007,"For a bishop must be blameless, as the steward of God; not selfwilled, not soon angry, not given to wine, no striker, not given to filthy lucre;",0.989980042
56001008,"But a lover of hospitality, a lover of good men, sober, just, holy, temperate;",0.595777512
56001009,"Holding fast the faithful word as he hath been taught, that he may be able by sound doctrine both to exhort and to convince the gainsayers.",0.047984235
56001010,"For there are many unruly and vain talkers and deceivers, specially they of the circumcision:",0.989913583
56001011,"Whose mouths must be stopped, who subvert whole houses, teaching things which they ought not, for filthy lucre's sake.",0.921782076
56001012,"One of themselves, even a prophet of their own, said, The Cretians are alway liars, evil beasts, slow bellies.",0.035606075
56001013,"This witness is true. Wherefore rebuke them sharply, that they may be sound in the faith;",0.990231812
56001014,"Not giving heed to Jewish fables, and commandments of men, that turn from the truth.",0.035172909
56001015,Unto the pure all things are pure: but unto them that are defiled and unbelieving is nothing pure; but even their mind and conscience is defiled.,0.990432322
56001016,"They profess that they know God; but in works they deny him, being abominable, and disobedient, and unto every good work reprobate.",0.972533047
56002001,But speak thou the things which become sound doctrine:,0.850179672
56002002,"That the aged men be sober, grave, temperate, sound in faith, in charity, in patience.",0.966240585
56002003,"The aged women likewise, that they be in behaviour as becometh holiness, not false accusers, not given to much wine, teachers of good things;",0.975457311
56002004,"That they may teach the young women to be sober, to love their husbands, to love their children,",0.986465335
56002005,"To be discreet, chaste, keepers at home, good, obedient to their own husbands, that the word of God be not blasphemed.",0.910991848
56002006,Young men likewise exhort to be sober minded.,0.760897815
56002007,"In all things shewing thyself a pattern of good works: in doctrine shewing uncorruptness, gravity, sincerity,",0.9894889
56002008,"Sound speech, that cannot be condemned; that he that is of the contrary part may be ashamed, having no evil thing to say of you.",0.982085943
56002009,"Exhort servants to be obedient unto their own masters, and to please them well in all things; not answering again;",0.96204555
56002010,"Not purloining, but shewing all good fidelity; that they may adorn the doctrine of God our Saviour in all things.",0.872281373
56002011,"For the grace of God that bringeth salvation hath appeared to all men,",0.990259588
56002012,"Teaching us that, denying ungodliness and worldly lusts, we should live soberly, righteously, and godly, in this present world;",0.940277874
56002013,"Looking for that blessed hope, and the glorious appearing of the great God and our Saviour Jesus Christ;",0.14959614
56002014,"Who gave himself for us, that he might redeem us from all iniquity, and purify unto himself a peculiar people, zealous of good works.",0.052230667
56002015,"These things speak, and exhort, and rebuke with all authority. Let no man despise thee.",0.018127693
56003001,"Put them in mind to be subject to principalities and powers, to obey magistrates, to be ready to every good work,",0.990094125
56003002,"To speak evil of no man, to be no brawlers, but gentle, shewing all meekness unto all men.",0.700414062
56003003,"For we ourselves also were sometimes foolish, disobedient, deceived, serving divers lusts and pleasures, living in malice and envy, hateful, and hating one another.",0.979652405
56003004,"But after that the kindness and love of God our Saviour toward man appeared,",0.794110835
56003005,"Not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the Holy Ghost;",0.982436538
56003006,Which he shed on us abundantly through Jesus Christ our Saviour;,0.925200284
56003007,"That being justified by his grace, we should be made heirs according to the hope of eternal life.",0.991272151
56003008,"This is a faithful saying, and these things I will that thou affirm constantly, that they which have believed in God might be careful to maintain good works. These things are good and profitable unto men.",0.027027534
56003009,"But avoid foolish questions, and genealogies, and contentions, and strivings about the law; for they are unprofitable and vain.",0.97526294
56003010,A man that is an heretick after the first and second admonition reject;,0.978306472
56003011,"Knowing that he that is such is subverted, and sinneth, being condemned of himself.",0.071580157
56003012,"When I shall send Artemas unto thee, or Tychicus, be diligent to come unto me to Nicopolis: for I have determined there to winter.",0.990641057
56003013,"Bring Zenas the lawyer and Apollos on their journey diligently, that nothing be wanting unto them.",0.893764555
56003014,"And let our's also learn to maintain good works for necessary uses, that they be not unfruitful.",0.959629834
56003015,All that are with me salute thee. Greet them that love us in the faith. Grace be with you all. Amen.,0.976425111
