id,book,chapter,verse,document_text,authentic
49004028,Ephesians,4,28,"Let him that stole steal no more: but rather let him labour, working with his hands the thing which is good, that he may have to give to him that needeth.",0.168248564
49004029,Ephesians,4,29,"Let no corrupt communication proceed out of your mouth, but that which is good to the use of edifying, that it may minister grace unto the hearers.",0.078232832
49004030,Ephesians,4,30,"And grieve not the holy Spirit of God, whereby ye are sealed unto the day of redemption.",0.420673877
49004031,Ephesians,4,31,"Let all bitterness, and wrath, and anger, and clamour, and evil speaking, be put away from you, with all malice:",0.002429968
49004032,Ephesians,4,32,"And be ye kind one to another, tenderhearted, forgiving one another, even as God for Christ's sake hath forgiven you.",0.099731579
49005001,Ephesians,5,1,"Be ye therefore followers of God, as dear children;",0.754527986
49005002,Ephesians,5,2,"And walk in love, as Christ also hath loved us, and hath given himself for us an offering and a sacrifice to God for a sweetsmelling savour.",0.002424764
49005003,Ephesians,5,3,"But fornication, and all uncleanness, or covetousness, let it not be once named among you, as becometh saints;",0.941529632
49005004,Ephesians,5,4,"Neither filthiness, nor foolish talking, nor jesting, which are not convenient: but rather giving of thanks.",0.329252809
49005005,Ephesians,5,5,"For this ye know, that no whoremonger, nor unclean person, nor covetous man, who is an idolater, hath any inheritance in the kingdom of Christ and of God.",0.61216104
49005006,Ephesians,5,6,Let no man deceive you with vain words: for because of these things cometh the wrath of God upon the children of disobedience.,0.039982241
49005007,Ephesians,5,7,Be not ye therefore partakers with them.,0.98889637
49005008,Ephesians,5,8,"For ye were sometimes darkness, but now are ye light in the Lord: walk as children of light:",0.953370392
49005009,Ephesians,5,9,(For the fruit of the Spirit is in all goodness and righteousness and truth;),0.98806119
49005010,Ephesians,5,10,Proving what is acceptable unto the Lord.,0.998950839
49005011,Ephesians,5,11,"And have no fellowship with the unfruitful works of darkness, but rather reprove them.",0.017679632
49005012,Ephesians,5,12,For it is a shame even to speak of those things which are done of them in secret.,0.999577463
49005013,Ephesians,5,13,But all things that are reproved are made manifest by the light: for whatsoever doth make manifest is light.,0.998332798
49005014,Ephesians,5,14,"Wherefore he saith, Awake thou that sleepest, and arise from the dead, and Christ shall give thee light.",0.732042372
49005015,Ephesians,5,15,"See then that ye walk circumspectly, not as fools, but as wise,",0.254078418
49005016,Ephesians,5,16,"Redeeming the time, because the days are evil.",0.079263486
49005017,Ephesians,5,17,"Wherefore be ye not unwise, but understanding what the will of the Lord is.",0.606547356
49005018,Ephesians,5,18,"And be not drunk with wine, wherein is excess; but be filled with the Spirit;",0.976725399
49005019,Ephesians,5,19,"Speaking to yourselves in psalms and hymns and spiritual songs, singing and making melody in your heart to the Lord;",0.033259202
49005020,Ephesians,5,20,Giving thanks always for all things unto God and the Father in the name of our Lord Jesus Christ;,0.037320208
49005021,Ephesians,5,21,Submitting yourselves one to another in the fear of God.,0.861881018
49005022,Ephesians,5,22,"Wives, submit yourselves unto your own husbands, as unto the Lord.",0.741543174
49005023,Ephesians,5,23,"For the husband is the head of the wife, even as Christ is the head of the church: and he is the saviour of the body.",0.82583046
49005024,Ephesians,5,24,"Therefore as the church is subject unto Christ, so let the wives be to their own husbands in every thing.",0.999575317
49005025,Ephesians,5,25,"Husbands, love your wives, even as Christ also loved the church, and gave himself for it;",0.046313968
49005026,Ephesians,5,26,"That he might sanctify and cleanse it with the washing of water by the word,",0.775347888
49005027,Ephesians,5,27,"That he might present it to himself a glorious church, not having spot, or wrinkle, or any such thing; but that it should be holy and without blemish.",0.535827041
49005028,Ephesians,5,28,So ought men to love their wives as their own bodies. He that loveth his wife loveth himself.,0.077425405
49005029,Ephesians,5,29,"For no man ever yet hated his own flesh; but nourisheth and cherisheth it, even as the Lord the church:",0.049516693
49005030,Ephesians,5,30,"For we are members of his body, of his flesh, and of his bones.",0.998497486
49005031,Ephesians,5,31,"For this cause shall a man leave his father and mother, and shall be joined unto his wife, and they two shall be one flesh.",0.852118909
49005032,Ephesians,5,32,This is a great mystery: but I speak concerning Christ and the church.,0.995824099
49005033,Ephesians,5,33,Nevertheless let every one of you in particular so love his wife even as himself; and the wife see that she reverence her husband.,0.021730846
49006001,Ephesians,6,1,"Children, obey your parents in the Lord: for this is right.",0.030665796
49006002,Ephesians,6,2,Honour thy father and mother; which is the first commandment with promise;,0.004819986
49006003,Ephesians,6,3,"That it may be well with thee, and thou mayest live long on the earth.",0.433164179
49006004,Ephesians,6,4,"And, ye fathers, provoke not your children to wrath: but bring them up in the nurture and admonition of the Lord.",0.002782624
49006005,Ephesians,6,5,"Servants, be obedient to them that are your masters according to the flesh, with fear and trembling, in singleness of your heart, as unto Christ;",0.025445011
49006006,Ephesians,6,6,"Not with eyeservice, as menpleasers; but as the servants of Christ, doing the will of God from the heart;",0.306158632
49006007,Ephesians,6,7,"With good will doing service, as to the Lord, and not to men:",0.998566329
49006008,Ephesians,6,8,"Knowing that whatsoever good thing any man doeth, the same shall he receive of the Lord, whether he be bond or free.",0.821349323
49006009,Ephesians,6,9,"And, ye masters, do the same things unto them, forbearing threatening: knowing that your Master also is in heaven; neither is there respect of persons with him.",0.004330433
49006010,Ephesians,6,10,"Finally, my brethren, be strong in the Lord, and in the power of his might.",0.998172641
49006011,Ephesians,6,11,"Put on the whole armour of God, that ye may be able to stand against the wiles of the devil.",0.10875725
49006012,Ephesians,6,12,"For we wrestle not against flesh and blood, but against principalities, against powers, against the rulers of the darkness of this world, against spiritual wickedness in high places.",0.950355113
49006013,Ephesians,6,13,"Wherefore take unto you the whole armour of God, that ye may be able to withstand in the evil day, and having done all, to stand.",0.80825603
49006014,Ephesians,6,14,"Stand therefore, having your loins girt about with truth, and having on the breastplate of righteousness;",0.0789093
49006015,Ephesians,6,15,And your feet shod with the preparation of the gospel of peace;,0.934132934
49006016,Ephesians,6,16,"Above all, taking the shield of faith, wherewith ye shall be able to quench all the fiery darts of the wicked.",0.014638026
49006017,Ephesians,6,17,"And take the helmet of salvation, and the sword of the Spirit, which is the word of God:",0.813503087
49006018,Ephesians,6,18,"Praying always with all prayer and supplication in the Spirit, and watching thereunto with all perseverance and supplication for all saints;",0.721064568
49006019,Ephesians,6,19,"And for me, that utterance may be given unto me, that I may open my mouth boldly, to make known the mystery of the gospel,",0.994625509
49006020,Ephesians,6,20,"For which I am an ambassador in bonds: that therein I may speak boldly, as I ought to speak.",0.999117315
49006021,Ephesians,6,21,"But that ye also may know my affairs, and how I do, Tychicus, a beloved brother and faithful minister in the Lord, shall make known to you all things:",0.998187125
49006022,Ephesians,6,22,"Whom I have sent unto you for the same purpose, that ye might know our affairs, and that he might comfort your hearts.",0.375157177
49006023,Ephesians,6,23,"Peace be to the brethren, and love with faith, from God the Father and the Lord Jesus Christ.",0.017665833
49006024,Ephesians,6,24,Grace be with all them that love our Lord Jesus Christ in sincerity. Amen.,0.045174442
51001001,Colossians,1,1,"Paul, an apostle of Jesus Christ by the will of God, and Timotheus our brother,",0.161955476
51001002,Colossians,1,2,"To the saints and faithful brethren in Christ which are at Colosse: Grace be unto you, and peace, from God our Father and the Lord Jesus Christ.",0.886692941
51001003,Colossians,1,3,"We give thanks to God and the Father of our Lord Jesus Christ, praying always for you,",0.670364022
51001004,Colossians,1,4,"Since we heard of your faith in Christ Jesus, and of the love which ye have to all the saints,",0.9811396
51001005,Colossians,1,5,"For the hope which is laid up for you in heaven, whereof ye heard before in the word of the truth of the gospel;",0.177437991
51001006,Colossians,1,6,"Which is come unto you, as it is in all the world; and bringeth forth fruit, as it doth also in you, since the day ye heard of it, and knew the grace of God in truth:",0.000911583
51001007,Colossians,1,7,"As ye also learned of Epaphras our dear fellowservant, who is for you a faithful minister of Christ;",0.993848383
51001008,Colossians,1,8,Who also declared unto us your love in the Spirit.,0.925163448
51001009,Colossians,1,9,"For this cause we also, since the day we heard it, do not cease to pray for you, and to desire that ye might be filled with the knowledge of his will in all wisdom and spiritual understanding;",0.040437423
51001010,Colossians,1,10,"That ye might walk worthy of the Lord unto all pleasing, being fruitful in every good work, and increasing in the knowledge of God;",0.937354207
51001011,Colossians,1,11,"Strengthened with all might, according to his glorious power, unto all patience and longsuffering with joyfulness;",0.073424883
51001012,Colossians,1,12,"Giving thanks unto the Father, which hath made us meet to be partakers of the inheritance of the saints in light:",0.007734843
51001013,Colossians,1,13,"Who hath delivered us from the power of darkness, and hath translated us into the kingdom of his dear Son:",0.00307104
51001014,Colossians,1,14,"In whom we have redemption through his blood, even the forgiveness of sins:",0.166234747
51001015,Colossians,1,15,"Who is the image of the invisible God, the firstborn of every creature:",0.075745203
51001016,Colossians,1,16,"For by him were all things created, that are in heaven, and that are in earth, visible and invisible, whether they be thrones, or dominions, or principalities, or powers: all things were created by him, and for him:",0.302195996
51001017,Colossians,1,17,"And he is before all things, and by him all things consist.",0.890321732
51001018,Colossians,1,18,"And he is the head of the body, the church: who is the beginning, the firstborn from the dead; that in all things he might have the preeminence.",0.031168502
51001019,Colossians,1,19,For it pleased the Father that in him should all fulness dwell;,0.995723724
51001020,Colossians,1,20,"And, having made peace through the blood of his cross, by him to reconcile all things unto himself; by him, I say, whether they be things in earth, or things in heaven.",0.98452121
51001021,Colossians,1,21,"And you, that were sometime alienated and enemies in your mind by wicked works, yet now hath he reconciled",0.047571275
51001022,Colossians,1,22,"In the body of his flesh through death, to present you holy and unblameable and unreproveable in his sight:",0.970615327
51001023,Colossians,1,23,"If ye continue in the faith grounded and settled, and be not moved away from the hope of the gospel, which ye have heard, and which was preached to every creature which is under heaven; whereof I Paul am made a minister;",0.976657391
51001024,Colossians,1,24,"Who now rejoice in my sufferings for you, and fill up that which is behind of the afflictions of Christ in my flesh for his body's sake, which is the church:",0.984619796
51001025,Colossians,1,25,"Whereof I am made a minister, according to the dispensation of God which is given to me for you, to fulfil the word of God;",0.999337971
51001026,Colossians,1,26,"Even the mystery which hath been hid from ages and from generations, but now is made manifest to his saints:",0.029115751
51001027,Colossians,1,27,"To whom God would make known what is the riches of the glory of this mystery among the Gentiles; which is Christ in you, the hope of glory:",0.99929297
51001028,Colossians,1,28,"Whom we preach, warning every man, and teaching every man in all wisdom; that we may present every man perfect in Christ Jesus:",0.961636484
51001029,Colossians,1,29,"Whereunto I also labour, striving according to his working, which worketh in me mightily.",0.749171913
51002001,Colossians,2,1,"For I would that ye knew what great conflict I have for you, and for them at Laodicea, and for as many as have not seen my face in the flesh;",0.999428451
51002002,Colossians,2,2,"That their hearts might be comforted, being knit together in love, and unto all riches of the full assurance of understanding, to the acknowledgement of the mystery of God, and of the Father, and of Christ;",0.505482912
51002003,Colossians,2,3,In whom are hid all the treasures of wisdom and knowledge.,0.03050467
51002004,Colossians,2,4,"And this I say, lest any man should beguile you with enticing words.",0.980874896
51002005,Colossians,2,5,"For though I be absent in the flesh, yet am I with you in the spirit, joying and beholding your order, and the stedfastness of your faith in Christ.",0.999253213
51002006,Colossians,2,6,"As ye have therefore received Christ Jesus the Lord, so walk ye in him:",0.996174812
51002007,Colossians,2,7,"Rooted and built up in him, and stablished in the faith, as ye have been taught, abounding therein with thanksgiving.",0.019647429
51002008,Colossians,2,8,"Beware lest any man spoil you through philosophy and vain deceit, after the tradition of men, after the rudiments of the world, and not after Christ.",0.009626011
51002009,Colossians,2,9,For in him dwelleth all the fulness of the Godhead bodily.,0.995741248
51002010,Colossians,2,10,"And ye are complete in him, which is the head of all principality and power:",0.939071357
51002011,Colossians,2,11,"In whom also ye are circumcised with the circumcision made without hands, in putting off the body of the sins of the flesh by the circumcision of Christ:",0.997491717
51002012,Colossians,2,12,"Buried with him in baptism, wherein also ye are risen with him through the faith of the operation of God, who hath raised him from the dead.",0.719521821
51002013,Colossians,2,13,"And you, being dead in your sins and the uncircumcision of your flesh, hath he quickened together with him, having forgiven you all trespasses;",0.044950206
51002014,Colossians,2,14,"Blotting out the handwriting of ordinances that was against us, which was contrary to us, and took it out of the way, nailing it to his cross;",0.014728954
51002015,Colossians,2,15,"And having spoiled principalities and powers, he made a shew of them openly, triumphing over them in it.",0.723524094
51002016,Colossians,2,16,"Let no man therefore judge you in meat, or in drink, or in respect of an holyday, or of the new moon, or of the sabbath days:",0.98656112
51002017,Colossians,2,17,Which are a shadow of things to come; but the body is of Christ.,0.986292958
51002018,Colossians,2,18,"Let no man beguile you of your reward in a voluntary humility and worshipping of angels, intruding into those things which he hath not seen, vainly puffed up by his fleshly mind,",0.024509011
51002019,Colossians,2,19,"And not holding the Head, from which all the body by joints and bands having nourishment ministered, and knit together, increaseth with the increase of God.",0.13848184
51002020,Colossians,2,20,"Wherefore if ye be dead with Christ from the rudiments of the world, why, as though living in the world, are ye subject to ordinances,",0.996846497
51002021,Colossians,2,21,(Touch not; taste not; handle not;,0.9939996
51002022,Colossians,2,22,Which all are to perish with the using;) after the commandments and doctrines of men?,0.983654916
51002023,Colossians,2,23,"Which things have indeed a shew of wisdom in will worship, and humility, and neglecting of the body: not in any honour to the satisfying of the flesh.",0.753296673
51003001,Colossians,3,1,"If ye then be risen with Christ, seek those things which are above, where Christ sitteth on the right hand of God.",0.227533832
51003002,Colossians,3,2,"Set your affection on things above, not on things on the earth.",0.111401282
51003003,Colossians,3,3,"For ye are dead, and your life is hid with Christ in God.",0.999601305
51003004,Colossians,3,4,"When Christ, who is our life, shall appear, then shall ye also appear with him in glory.",0.556996405
51003005,Colossians,3,5,"Mortify therefore your members which are upon the earth; fornication, uncleanness, inordinate affection, evil concupiscence, and covetousness, which is idolatry:",0.007470844
51003006,Colossians,3,6,For which things' sake the wrath of God cometh on the children of disobedience:,0.821874142
51003007,Colossians,3,7,"In the which ye also walked some time, when ye lived in them.",0.988776267
51003008,Colossians,3,8,"But now ye also put off all these; anger, wrath, malice, blasphemy, filthy communication out of your mouth.",0.026687501
51003009,Colossians,3,9,"Lie not one to another, seeing that ye have put off the old man with his deeds;",0.00086692
51003010,Colossians,3,10,"And have put on the new man, which is renewed in knowledge after the image of him that created him:",0.028093845
51003011,Colossians,3,11,"Where there is neither Greek nor Jew, circumcision nor uncircumcision, Barbarian, Scythian, bond nor free: but Christ is all, and in all.",0.98358953
51003012,Colossians,3,12,"Put on therefore, as the elect of God, holy and beloved, bowels of mercies, kindness, humbleness of mind, meekness, longsuffering;",0.002029191
51003013,Colossians,3,13,"Forbearing one another, and forgiving one another, if any man have a quarrel against any: even as Christ forgave you, so also do ye.",0.263633102
51003014,Colossians,3,14,"And above all these things put on charity, which is the bond of perfectness.",0.958026886
51003015,Colossians,3,15,"And let the peace of God rule in your hearts, to the which also ye are called in one body; and be ye thankful.",0.949122012
51003016,Colossians,3,16,"Let the word of Christ dwell in you richly in all wisdom; teaching and admonishing one another in psalms and hymns and spiritual songs, singing with grace in your hearts to the Lord.",0.029412251
51003017,Colossians,3,17,"And whatsoever ye do in word or deed, do all in the name of the Lord Jesus, giving thanks to God and the Father by him.",0.60678947
51003018,Colossians,3,18,"Wives, submit yourselves unto your own husbands, as it is fit in the Lord.",0.933162034
51003019,Colossians,3,19,"Husbands, love your wives, and be not bitter against them.",0.013659084
51003020,Colossians,3,20,"Children, obey your parents in all things: for this is well pleasing unto the Lord.",0.008509299
51003021,Colossians,3,21,"Fathers, provoke not your children to anger, lest they be discouraged.",0.002060427
51003022,Colossians,3,22,"Servants, obey in all things your masters according to the flesh; not with eyeservice, as menpleasers; but in singleness of heart, fearing God;",0.015440086
51003023,Colossians,3,23,"And whatsoever ye do, do it heartily, as to the Lord, and not unto men;",0.666918397
51003024,Colossians,3,24,Knowing that of the Lord ye shall receive the reward of the inheritance: for ye serve the Lord Christ.,0.228080571
51003025,Colossians,3,25,But he that doeth wrong shall receive for the wrong which he hath done: and there is no respect of persons.,0.433583915
51004001,Colossians,4,1,"Masters, give unto your servants that which is just and equal; knowing that ye also have a Master in heaven.",0.001905727
51004002,Colossians,4,2,"Continue in prayer, and watch in the same with thanksgiving;",0.157274023
51004003,Colossians,4,3,"Withal praying also for us, that God would open unto us a door of utterance, to speak the mystery of Christ, for which I am also in bonds:",0.999325752
51004004,Colossians,4,4,"That I may make it manifest, as I ought to speak.",0.999107182
51004005,Colossians,4,5,"Walk in wisdom toward them that are without, redeeming the time.",0.008540574
51004006,Colossians,4,6,"Let your speech be alway with grace, seasoned with salt, that ye may know how ye ought to answer every man.",0.985593021
51004007,Colossians,4,7,"All my state shall Tychicus declare unto you, who is a beloved brother, and a faithful minister and fellowservant in the Lord:",0.95182693
51004008,Colossians,4,8,"Whom I have sent unto you for the same purpose, that he might know your estate, and comfort your hearts;",0.233788371
51004009,Colossians,4,9,"With Onesimus, a faithful and beloved brother, who is one of you. They shall make known unto you all things which are done here.",0.071095534
51004010,Colossians,4,10,"Aristarchus my fellowprisoner saluteth you, and Marcus, sister's son to Barnabas, (touching whom ye received commandments: if he come unto you, receive him;)",0.036818709
51004011,Colossians,4,11,"And Jesus, which is called Justus, who are of the circumcision. These only are my fellowworkers unto the kingdom of God, which have been a comfort unto me.",0.995588899
51004012,Colossians,4,12,"Epaphras, who is one of you, a servant of Christ, saluteth you, always labouring fervently for you in prayers, that ye may stand perfect and complete in all the will of God.",0.038523514
51004013,Colossians,4,13,"For I bear him record, that he hath a great zeal for you, and them that are in Laodicea, and them in Hierapolis.",0.881242037
51004014,Colossians,4,14,"Luke, the beloved physician, and Demas, greet you.",0.027718272
51004015,Colossians,4,15,"Salute the brethren which are in Laodicea, and Nymphas, and the church which is in his house.",0.778667152
