id,book,chapter,verse,document_text,authentic
55002017,2 Timothy,2,17,And their word will eat as doth a canker: of whom is Hymenaeus and Philetus;,0.671837747
55002018,2 Timothy,2,18,"Who concerning the truth have erred, saying that the resurrection is past already; and overthrow the faith of some.",0.006189504
55002019,2 Timothy,2,19,"Nevertheless the foundation of God standeth sure, having this seal, The Lord knoweth them that are his. And, Let every one that nameth the name of Christ depart from iniquity.",0.01006412
55002020,2 Timothy,2,20,"But in a great house there are not only vessels of gold and of silver, but also of wood and of earth; and some to honour, and some to dishonour.",0.031460673
55002021,2 Timothy,2,21,"If a man therefore purge himself from these, he shall be a vessel unto honour, sanctified, and meet for the master's use, and prepared unto every good work.",0.234630391
55002022,2 Timothy,2,22,"Flee also youthful lusts: but follow righteousness, faith, charity, peace, with them that call on the Lord out of a pure heart.",0.001841968
55002023,2 Timothy,2,23,"But foolish and unlearned questions avoid, knowing that they do gender strifes.",0.050458301
55002024,2 Timothy,2,24,"And the servant of the Lord must not strive; but be gentle unto all men, apt to teach, patient,",0.766708374
55002025,2 Timothy,2,25,In meekness instructing those that oppose themselves; if God peradventure will give them repentance to the acknowledging of the truth;,0.168557391
55002026,2 Timothy,2,26,"And that they may recover themselves out of the snare of the devil, who are taken captive by him at his will.",0.077991612
55003001,2 Timothy,3,1,"This know also, that in the last days perilous times shall come.",0.078237757
55003002,2 Timothy,3,2,"For men shall be lovers of their own selves, covetous, boasters, proud, blasphemers, disobedient to parents, unthankful, unholy,",0.306350589
55003003,2 Timothy,3,3,"Without natural affection, trucebreakers, false accusers, incontinent, fierce, despisers of those that are good,",0.004317126
55003004,2 Timothy,3,4,"Traitors, heady, highminded, lovers of pleasures more than lovers of God;",0.630071878
55003005,2 Timothy,3,5,"Having a form of godliness, but denying the power thereof: from such turn away.",0.602803707
55003006,2 Timothy,3,6,"For of this sort are they which creep into houses, and lead captive silly women laden with sins, led away with divers lusts,",0.012402442
55003007,2 Timothy,3,7,"Ever learning, and never able to come to the knowledge of the truth.",0.134938732
55003008,2 Timothy,3,8,"Now as Jannes and Jambres withstood Moses, so do these also resist the truth: men of corrupt minds, reprobate concerning the faith.",0.484062791
55003009,2 Timothy,3,9,"But they shall proceed no further: for their folly shall be manifest unto all men, as their's also was.",0.949398518
55003010,2 Timothy,3,10,"But thou hast fully known my doctrine, manner of life, purpose, faith, longsuffering, charity, patience,",0.99546212
55003011,2 Timothy,3,11,"Persecutions, afflictions, which came unto me at Antioch, at Iconium, at Lystra; what persecutions I endured: but out of them all the Lord delivered me.",0.967675865
55003012,2 Timothy,3,12,"Yea, and all that will live godly in Christ Jesus shall suffer persecution.",0.574744046
55003013,2 Timothy,3,13,"But evil men and seducers shall wax worse and worse, deceiving, and being deceived.",0.002563715
55003014,2 Timothy,3,14,"But continue thou in the things which thou hast learned and hast been assured of, knowing of whom thou hast learned them;",0.914103866
55003015,2 Timothy,3,15,"And that from a child thou hast known the holy scriptures, which are able to make thee wise unto salvation through faith which is in Christ Jesus.",0.062586948
55003016,2 Timothy,3,16,"All scripture is given by inspiration of God, and is profitable for doctrine, for reproof, for correction, for instruction in righteousness:",0.996744871
55003017,2 Timothy,3,17,"That the man of God may be perfect, throughly furnished unto all good works.",0.998630166
55004001,2 Timothy,4,1,"I charge thee therefore before God, and the Lord Jesus Christ, who shall judge the quick and the dead at his appearing and his kingdom;",0.993744195
55004002,2 Timothy,4,2,"Preach the word; be instant in season, out of season; reprove, rebuke, exhort with all longsuffering and doctrine.",0.201097757
55004003,2 Timothy,4,3,"For the time will come when they will not endure sound doctrine; but after their own lusts shall they heap to themselves teachers, having itching ears;",0.002566546
55004004,2 Timothy,4,4,"And they shall turn away their ears from the truth, and shall be turned unto fables.",0.002599762
55004005,2 Timothy,4,5,"But watch thou in all things, endure afflictions, do the work of an evangelist, make full proof of thy ministry.",0.988197029
55004006,2 Timothy,4,6,"For I am now ready to be offered, and the time of my departure is at hand.",0.99983108
55004007,2 Timothy,4,7,"I have fought a good fight, I have finished my course, I have kept the faith:",0.98213011
55004008,2 Timothy,4,8,"Henceforth there is laid up for me a crown of righteousness, which the Lord, the righteous judge, shall give me at that day: and not to me only, but unto all them also that love his appearing.",0.941651285
55004009,2 Timothy,4,9,Do thy diligence to come shortly unto me:,0.907382429
55004010,2 Timothy,4,10,"For Demas hath forsaken me, having loved this present world, and is departed unto Thessalonica; Crescens to Galatia, Titus unto Dalmatia.",0.836882651
55004011,2 Timothy,4,11,"Only Luke is with me. Take Mark, and bring him with thee: for he is profitable to me for the ministry.",0.988372862
55004012,2 Timothy,4,12,And Tychicus have I sent to Ephesus.,0.942660093
55004013,2 Timothy,4,13,"The cloke that I left at Troas with Carpus, when thou comest, bring with thee, and the books, but especially the parchments.",0.105751835
55004014,2 Timothy,4,14,Alexander the coppersmith did me much evil: the Lord reward him according to his works:,0.141685441
55004015,2 Timothy,4,15,Of whom be thou ware also; for he hath greatly withstood our words.,0.617029369
55004016,2 Timothy,4,16,"At my first answer no man stood with me, but all men forsook me: I pray God that it may not be laid to their charge.",0.997475803
55004017,2 Timothy,4,17,"Notwithstanding the Lord stood with me, and strengthened me; that by me the preaching might be fully known, and that all the Gentiles might hear: and I was delivered out of the mouth of the lion.",0.994107604
55004018,2 Timothy,4,18,"And the Lord shall deliver me from every evil work, and will preserve me unto his heavenly kingdom: to whom be glory for ever and ever. Amen.",0.159152225
55004019,2 Timothy,4,19,"Salute Prisca and Aquila, and the household of Onesiphorus.",0.898947418
55004020,2 Timothy,4,20,Erastus abode at Corinth: but Trophimus have I left at Miletum sick.,0.958155572
55004021,2 Timothy,4,21,"Do thy diligence to come before winter. Eubulus greeteth thee, and Pudens, and Linus, and Claudia, and all the brethren.",0.138425633
55004022,2 Timothy,4,22,The Lord Jesus Christ be with thy spirit. Grace be with you. Amen.,0.896958709
56001001,Titus,1,1,"Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;",0.550833881
56001002,Titus,1,2,"In hope of eternal life, which God, that cannot lie, promised before the world began;",0.061918788
56001003,Titus,1,3,"But hath in due times manifested his word through preaching, which is committed unto me according to the commandment of God our Saviour;",0.47261259
56001004,Titus,1,4,"To Titus, mine own son after the common faith: Grace, mercy, and peace, from God the Father and the Lord Jesus Christ our Saviour.",0.01196272
56001005,Titus,1,5,"For this cause left I thee in Crete, that thou shouldest set in order the things that are wanting, and ordain elders in every city, as I had appointed thee:",0.996083856
56001006,Titus,1,6,"If any be blameless, the husband of one wife, having faithful children not accused of riot or unruly.",0.014835794
56001007,Titus,1,7,"For a bishop must be blameless, as the steward of God; not selfwilled, not soon angry, not given to wine, no striker, not given to filthy lucre;",0.998407066
56001008,Titus,1,8,"But a lover of hospitality, a lover of good men, sober, just, holy, temperate;",0.061821204
56001009,Titus,1,9,"Holding fast the faithful word as he hath been taught, that he may be able by sound doctrine both to exhort and to convince the gainsayers.",0.021978021
56001010,Titus,1,10,"For there are many unruly and vain talkers and deceivers, specially they of the circumcision:",0.030604495
56001011,Titus,1,11,"Whose mouths must be stopped, who subvert whole houses, teaching things which they ought not, for filthy lucre's sake.",0.017792452
56001012,Titus,1,12,"One of themselves, even a prophet of their own, said, The Cretians are alway liars, evil beasts, slow bellies.",0.020238364
56001013,Titus,1,13,"This witness is true. Wherefore rebuke them sharply, that they may be sound in the faith;",0.272916496
56001014,Titus,1,14,"Not giving heed to Jewish fables, and commandments of men, that turn from the truth.",0.067586243
56001015,Titus,1,15,Unto the pure all things are pure: but unto them that are defiled and unbelieving is nothing pure; but even their mind and conscience is defiled.,0.105276383
56001016,Titus,1,16,"They profess that they know God; but in works they deny him, being abominable, and disobedient, and unto every good work reprobate.",0.015620215
56002001,Titus,2,1,But speak thou the things which become sound doctrine:,0.373912483
56002002,Titus,2,2,"That the aged men be sober, grave, temperate, sound in faith, in charity, in patience.",0.164306551
56002003,Titus,2,3,"The aged women likewise, that they be in behaviour as becometh holiness, not false accusers, not given to much wine, teachers of good things;",0.002719525
56002004,Titus,2,4,"That they may teach the young women to be sober, to love their husbands, to love their children,",0.071483098
56002005,Titus,2,5,"To be discreet, chaste, keepers at home, good, obedient to their own husbands, that the word of God be not blasphemed.",0.105706766
56002006,Titus,2,6,Young men likewise exhort to be sober minded.,0.695319593
56002007,Titus,2,7,"In all things shewing thyself a pattern of good works: in doctrine shewing uncorruptness, gravity, sincerity,",0.942698896
56002008,Titus,2,8,"Sound speech, that cannot be condemned; that he that is of the contrary part may be ashamed, having no evil thing to say of you.",0.198004588
56002009,Titus,2,9,"Exhort servants to be obedient unto their own masters, and to please them well in all things; not answering again;",0.030269349
56002010,Titus,2,10,"Not purloining, but shewing all good fidelity; that they may adorn the doctrine of God our Saviour in all things.",0.013456369
56002011,Titus,2,11,"For the grace of God that bringeth salvation hath appeared to all men,",0.998643339
56002012,Titus,2,12,"Teaching us that, denying ungodliness and worldly lusts, we should live soberly, righteously, and godly, in this present world;",0.096456364
56002013,Titus,2,13,"Looking for that blessed hope, and the glorious appearing of the great God and our Saviour Jesus Christ;",0.000967178
56002014,Titus,2,14,"Who gave himself for us, that he might redeem us from all iniquity, and purify unto himself a peculiar people, zealous of good works.",0.003022787
56002015,Titus,2,15,"These things speak, and exhort, and rebuke with all authority. Let no man despise thee.",0.005128135
56003001,Titus,3,1,"Put them in mind to be subject to principalities and powers, to obey magistrates, to be ready to every good work,",0.981657743
56003002,Titus,3,2,"To speak evil of no man, to be no brawlers, but gentle, shewing all meekness unto all men.",0.434643567
56003003,Titus,3,3,"For we ourselves also were sometimes foolish, disobedient, deceived, serving divers lusts and pleasures, living in malice and envy, hateful, and hating one another.",0.017313613
56003004,Titus,3,4,"But after that the kindness and love of God our Saviour toward man appeared,",0.209432617
56003005,Titus,3,5,"Not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the Holy Ghost;",0.003027232
56003006,Titus,3,6,Which he shed on us abundantly through Jesus Christ our Saviour;,0.766018987
56003007,Titus,3,7,"That being justified by his grace, we should be made heirs according to the hope of eternal life.",0.632836819
56003008,Titus,3,8,"This is a faithful saying, and these things I will that thou affirm constantly, that they which have believed in God might be careful to maintain good works. These things are good and profitable unto men.",0.022057598
56003009,Titus,3,9,"But avoid foolish questions, and genealogies, and contentions, and strivings about the law; for they are unprofitable and vain.",0.824968815
